"year" "temp"
"1" 1880 -0.28
"2" 1881 -0.21
"3" 1882 -0.26
"4" 1883 -0.27
"5" 1884 -0.32
"6" 1885 -0.32
"7" 1886 -0.29
"8" 1887 -0.36
"9" 1888 -0.27
"10" 1889 -0.17
"11" 1890 -0.39
"12" 1891 -0.27
"13" 1892 -0.32
"14" 1893 -0.33
"15" 1894 -0.33
"16" 1895 -0.25
"17" 1896 -0.14
"18" 1897 -0.11
"19" 1898 -0.25
"20" 1899 -0.15
"21" 1900 -0.07
"22" 1901 -0.14
"23" 1902 -0.24
"24" 1903 -0.3
"25" 1904 -0.34
"26" 1905 -0.24
"27" 1906 -0.19
"28" 1907 -0.39
"29" 1908 -0.33
"30" 1909 -0.35
"31" 1910 -0.33
"32" 1911 -0.34
"33" 1912 -0.32
"34" 1913 -0.3
"35" 1914 -0.15
"36" 1915 -0.1
"37" 1916 -0.3
"38" 1917 -0.39
"39" 1918 -0.33
"40" 1919 -0.2
"41" 1920 -0.19
"42" 1921 -0.14
"43" 1922 -0.26
"44" 1923 -0.22
"45" 1924 -0.22
"46" 1925 -0.17
"47" 1926 -0.02
"48" 1927 -0.15
"49" 1928 -0.12
"50" 1929 -0.26
"51" 1930 -0.08
"52" 1931 -0.02
"53" 1932 -0.08
"54" 1933 -0.19
"55" 1934 -0.07
"56" 1935 -0.12
"57" 1936 -0.05
"58" 1937 0.07
"59" 1938 0.1
"60" 1939 0.01
"61" 1940 0.04
"62" 1941 0.1
"63" 1942 0.03
"64" 1943 0.09
"65" 1944 0.19
"66" 1945 0.06
"67" 1946 -0.05
"68" 1947 0
"69" 1948 -0.04
"70" 1949 -0.07
"71" 1950 -0.16
"72" 1951 -0.04
"73" 1952 0.03
"74" 1953 0.11
"75" 1954 -0.1
"76" 1955 -0.1
"77" 1956 -0.17
"78" 1957 0.08
"79" 1958 0.08
"80" 1959 0.06
"81" 1960 -0.01
"82" 1961 0.07
"83" 1962 0.04
"84" 1963 0.08
"85" 1964 -0.21
"86" 1965 -0.11
"87" 1966 -0.03
"88" 1967 -0.01
"89" 1968 -0.04
"90" 1969 0.08
"91" 1970 0.03
"92" 1971 -0.1
"93" 1972 0
"94" 1973 0.14
"95" 1974 -0.08
"96" 1975 -0.05
"97" 1976 -0.16
"98" 1977 0.12
"99" 1978 0.01
"100" 1979 0.08
"101" 1980 0.18
"102" 1981 0.26
"103" 1982 0.04
"104" 1983 0.26
"105" 1984 0.09
"106" 1985 0.05
"107" 1986 0.12
"108" 1987 0.26
"109" 1988 0.31
"110" 1989 0.19
"111" 1990 0.37
"112" 1991 0.35
"113" 1992 0.12
"114" 1993 0.13
"115" 1994 0.23
"116" 1995 0.37
"117" 1996 0.29
"118" 1997 0.39
"119" 1998 0.56
"120" 1999 0.32
"121" 2000 0.33
"122" 2001 0.48
"123" 2002 0.56
"124" 2003 0.55
"125" 2004 0.48
"126" 2005 0.62
"127" 2006 0.54
"128" 2007 0.57
"129" 2008 0.43
"130" 2009 0.57
